doc_id,doc,k,metric,algo,similarity
22,doc23,20,jaccard,tfidf,0.666667
22,doc23,20,overlap,tfidf,0.8
22,doc23,50,rbo,tfidf,0.665784
22,doc23,50,jaccard,tfidf,0.587302
22,doc23,50,overlap,tfidf,0.74
22,doc23,5,rbo,bbidf,0.503438
22,doc23,5,jaccard,bbidf,0.666667
22,doc23,5,overlap,bbidf,0.8
22,doc23,10,rbo,bbidf,0.640374
22,doc23,10,jaccard,bbidf,0.666667
22,doc23,10,overlap,bbidf,0.8
22,doc23,20,rbo,bbidf,0.677655
22,doc23,20,jaccard,bbidf,0.73913
22,doc23,20,overlap,bbidf,0.85
22,doc23,50,rbo,bbidf,0.694227
22,doc23,50,jaccard,bbidf,0.5625
22,doc23,50,overlap,bbidf,0.72
23,doc24,5,rbo,tfidf,0.647215
23,doc24,5,jaccard,tfidf,0.428571
23,doc24,5,overlap,tfidf,0.6
23,doc24,10,rbo,tfidf,0.632297
23,doc24,10,jaccard,tfidf,0.428571
23,doc24,10,overlap,tfidf,0.6
23,doc24,20,rbo,tfidf,0.669512
23,doc24,20,jaccard,tfidf,0.73913
23,doc24,20,overlap,tfidf,0.85
23,doc24,50,rbo,tfidf,0.685105
23,doc24,50,jaccard,tfidf,0.754386
23,doc24,50,overlap,tfidf,0.86
23,doc24,5,rbo,bbidf,0.891409
23,doc24,5,jaccard,bbidf,0.428571
23,doc24,5,overlap,bbidf,0.6
23,doc24,10,rbo,bbidf,0.791779
23,doc24,10,jaccard,bbidf,0.538462
23,doc24,10,overlap,bbidf,0.7
23,doc24,20,rbo,bbidf,0.790739
23,doc24,20,jaccard,bbidf,0.73913
23,doc24,20,overlap,bbidf,0.85
23,doc24,50,rbo,bbidf,0.792072
23,doc24,50,jaccard,bbidf,0.666667
23,doc24,50,overlap,bbidf,0.8
24,doc25,5,rbo,tfidf,0.425594
24,doc25,5,jaccard,tfidf,1.0
24,doc25,5,overlap,tfidf,1.0
24,doc25,10,rbo,tfidf,0.585482
24,doc25,10,jaccard,tfidf,0.538462
24,doc25,10,overlap,tfidf,0.7
24,doc25,20,rbo,tfidf,0.633274
24,doc25,20,jaccard,tfidf,0.6
24,doc25,20,overlap,tfidf,0.75
24,doc25,50,rbo,tfidf,0.652134
24,doc25,50,jaccard,tfidf,0.639344
24,doc25,50,overlap,tfidf,0.78
24,doc25,5,rbo,bbidf,0.747633
24,doc25,5,jaccard,bbidf,0.666667
24,doc25,5,overlap,bbidf,0.8
24,doc25,10,rbo,bbidf,0.778798
24,doc25,10,jaccard,bbidf,0.666667
24,doc25,10,overlap,bbidf,0.8
24,doc25,20,rbo,bbidf,0.781695
24,doc25,20,jaccard,bbidf,0.666667
24,doc25,20,overlap,bbidf,0.8
24,doc25,50,rbo,bbidf,0.782859
24,doc25,50,jaccard,bbidf,0.612903
24,doc25,50,overlap,bbidf,0.76
25,doc26,5,rbo,tfidf,0.645918
25,doc26,5,jaccard,tfidf,1.0
25,doc26,5,overlap,tfidf,1.0
25,doc26,10,rbo,tfidf,0.720555
25,doc26,10,jaccard,tfidf,0.538462
25,doc26,10,overlap,tfidf,0.7
25,doc26,20,rbo,tfidf,0.736261
25,doc26,20,jaccard,tfidf,0.666667
25,doc26,20,overlap,tfidf,0.8
25,doc26,50,rbo,tfidf,0.733469
25,doc26,50,jaccard,tfidf,0.5625
25,doc26,50,overlap,tfidf,0.72
25,doc26,5,rbo,bbidf,0.438055
25,doc26,5,jaccard,bbidf,0.666667
25,doc26,5,overlap,bbidf,0.8
25,doc26,10,rbo,bbidf,0.631557
25,doc26,10,jaccard,bbidf,0.818182
25,doc26,10,overlap,bbidf,0.9
25,doc26,20,rbo,bbidf,0.680276
25,doc26,20,jaccard,bbidf,0.666667
25,doc26,20,overlap,bbidf,0.8
25,doc26,50,rbo,bbidf,0.687936
25,doc26,50,jaccard,bbidf,0.492537
25,doc26,50,overlap,bbidf,0.66
26,doc27,5,rbo,tfidf,0.679258
26,doc27,5,jaccard,tfidf,0.666667
26,doc27,5,overlap,tfidf,0.8
26,doc27,10,rbo,tfidf,0.76421
26,doc27,10,jaccard,tfidf,0.818182
26,doc27,10,overlap,tfidf,0.9
26,doc27,20,rbo,tfidf,0.750054
26,doc27,20,jaccard,tfidf,0.428571
26,doc27,20,overlap,tfidf,0.6
26,doc27,50,rbo,tfidf,0.74031
26,doc27,50,jaccard,tfidf,0.470588
26,doc27,50,overlap,tfidf,0.64
26,doc27,5,rbo,bbidf,0.689873
26,doc27,5,jaccard,bbidf,1.0
26,doc27,5,overlap,bbidf,1.0
26,doc27,10,rbo,bbidf,0.795832
26,doc27,10,jaccard,bbidf,1.0
26,doc27,10,overlap,bbidf,1.0
26,doc27,20,rbo,bbidf,0.79681
26,doc27,20,jaccard,bbidf,0.538462
26,doc27,20,overlap,bbidf,0.7
26,doc27,50,rbo,bbidf,0.795083
26,doc27,50,jaccard,bbidf,0.639344
26,doc27,50,overlap,bbidf,0.78
27,doc28,5,rbo,tfidf,1.0
27,doc28,5,jaccard,tfidf,1.0
27,doc28,5,overlap,tfidf,1.0
27,doc28,10,rbo,tfidf,0.950763
27,doc28,10,jaccard,tfidf,0.818182
27,doc28,10,overlap,tfidf,0.9
27,doc28,20,rbo,tfidf,0.901376
27,doc28,20,jaccard,tfidf,0.481481
27,doc28,20,overlap,tfidf,0.65
27,doc28,50,rbo,tfidf,0.865907
27,doc28,50,jaccard,tfidf,0.538462
27,doc28,50,overlap,tfidf,0.7
27,doc28,5,rbo,bbidf,0.890113
27,doc28,5,jaccard,bbidf,1.0
27,doc28,5,overlap,bbidf,1.0
27,doc28,10,rbo,bbidf,0.896782
27,doc28,10,jaccard,bbidf,0.818182
27,doc28,10,overlap,bbidf,0.9
27,doc28,20,rbo,bbidf,0.87608
27,doc28,20,jaccard,bbidf,0.538462
27,doc28,20,overlap,bbidf,0.7
27,doc28,50,rbo,bbidf,0.849721
27,doc28,50,jaccard,bbidf,0.639344
27,doc28,50,overlap,bbidf,0.78
28,doc29,5,rbo,tfidf,0.251071
28,doc29,5,jaccard,tfidf,0.428571
28,doc29,5,overlap,tfidf,0.6
28,doc29,10,rbo,tfidf,0.358937
28,doc29,10,jaccard,tfidf,0.428571
28,doc29,10,overlap,tfidf,0.6
28,doc29,20,rbo,tfidf,0.440024
28,doc29,20,jaccard,tfidf,0.6
28,doc29,20,overlap,tfidf,0.75
28,doc29,50,rbo,tfidf,0.469279
28,doc29,50,jaccard,tfidf,0.538462
28,doc29,50,overlap,tfidf,0.7
28,doc29,5,rbo,bbidf,0.569371
28,doc29,5,jaccard,bbidf,0.666667
28,doc29,5,overlap,bbidf,0.8
28,doc29,10,rbo,bbidf,0.630773
28,doc29,10,jaccard,bbidf,0.666667
28,doc29,10,overlap,bbidf,0.8
28,doc29,20,rbo,bbidf,0.666383
28,doc29,20,jaccard,bbidf,0.666667
28,doc29,20,overlap,bbidf,0.8
28,doc29,50,rbo,bbidf,0.674883
28,doc29,50,jaccard,bbidf,0.639344
28,doc29,50,overlap,bbidf,0.78
29,doc30,5,rbo,tfidf,0.715589
29,doc30,5,jaccard,tfidf,0.428571
29,doc30,5,overlap,tfidf,0.6
29,doc30,10,rbo,tfidf,0.700235
29,doc30,10,jaccard,tfidf,0.538462
29,doc30,10,overlap,tfidf,0.7
29,doc30,20,rbo,tfidf,0.696018
29,doc30,20,jaccard,tfidf,0.6
